case_id,seconds,device,resolution,shape
spleen_14,138.48,cpu,fast,512x512x54
spleen_16,260.45,cpu,fast,512x512x61
spleen_17,39.84,cpu,fast,512x512x95
spleen_18,103.0,cpu,fast,512x512x164
spleen_19,113.53,cpu,fast,512x512x51
spleen_2,175.18,cpu,fast,512x512x90
spleen_20,101.08,cpu,fast,512x512x168
spleen_21,46.95,cpu,fast,512x512x89
spleen_22,97.65,cpu,fast,512x512x148
spleen_24,80.69,cpu,fast,512x512x94
spleen_25,42.42,cpu,fast,512x512x87
spleen_26,43.35,cpu,fast,512x512x65
spleen_27,142.43,cpu,fast,512x512x119
spleen_28,74.37,cpu,fast,512x512x44
spleen_29,157.1,cpu,fast,512x512x103
spleen_3,37.87,cpu,fast,512x512x40
spleen_31,41.18,cpu,fast,512x512x56
spleen_32,167.77,cpu,fast,512x512x104
spleen_33,142.53,cpu,fast,512x512x83
spleen_38,150.1,cpu,fast,512x512x100
spleen_40,81.41,cpu,fast,512x512x93
spleen_41,160.72,cpu,fast,512x512x94
spleen_44,151.01,cpu,fast,512x512x92
spleen_45,167.98,cpu,fast,512x512x112
spleen_46,49.82,cpu,fast,512x512x99
spleen_47,151.59,cpu,fast,512x512x88
spleen_49,65.92,cpu,fast,512x512x61
spleen_52,150.18,cpu,fast,512x512x112
spleen_53,159.52,cpu,fast,512x512x156
spleen_56,42.41,cpu,fast,512x512x33
spleen_59,77.84,cpu,fast,512x512x50
spleen_6,92.17,cpu,fast,512x512x135
spleen_60,153.89,cpu,fast,512x512x97
spleen_61,150.03,cpu,fast,512x512x101
spleen_62,101.11,cpu,fast,512x512x80
spleen_63,91.0,cpu,fast,512x512x60
spleen_8,105.07,cpu,fast,512x512x31
spleen_9,49.28,cpu,fast,512x512x41
