case_id,variant,split,dice,pred_voxels,truth_voxels
case_00000,clean,test,0.948,822337,874945
case_00020,clean,test,0.9138,100391,118744
case_00026,clean,test,0.8921,394442,489593
case_00033,clean,test,0.9257,597528,681545
case_00040,clean,dev,0.6607,154686,312893
case_00044,clean,test,0.8983,121389,148318
case_00045,clean,test,0.8466,125192,162675
case_00046,clean,test,0.9146,139529,163428
case_00051,clean,dev,0.9279,178847,204313
case_00053,clean,test,0.8904,902446,1109104
case_00055,clean,test,0.8976,183474,224646
case_00061,clean,test,0.9263,127543,147231
case_00077,clean,test,0.9113,130639,155473
case_00079,clean,test,0.8841,247831,312564
case_00080,clean,test,0.9318,147480,167911
case_00083,clean,test,0.929,204735,234227
case_00091,clean,test,0.9495,1366295,1440731
case_00096,clean,test,0.9263,1079160,1232634
case_00100,clean,test,0.9326,388669,439918
case_00107,clean,test,0.8236,243157,343653
case_00115,clean,test,0.9471,1033409,1139985
case_00120,clean,test,0.9151,304309,353809
case_00124,clean,test,0.9128,307247,365044
case_00131,clean,test,0.9288,279686,321737
case_00132,clean,test,0.941,1178338,1302311
case_00135,clean,dev,0.8612,1942859,2553546
case_00138,clean,test,0.9331,282523,320209
case_00140,clean,test,0.9451,651468,722591
case_00145,clean,test,0.9129,196662,232350
case_00152,clean,test,0.9314,131737,150661
case_00154,clean,test,0.9054,733997,863919
case_00159,clean,test,0.9273,1488141,1686923
case_00164,clean,test,0.898,133569,163354
case_00168,clean,test,0.9026,78533,94711
case_00178,clean,dev,0.8551,135129,179908
case_00180,clean,test,0.9092,242754,285248
case_00184,clean,test,0.8176,156906,224314
case_00185,clean,test,0.91,318076,378296
case_00192,clean,test,0.6613,219153,442259
case_00198,clean,test,0.8575,234197,311593
case_00203,clean,test,0.9032,376511,450622
case_00211,clean,test,0.4156,148471,564886
case_00217,clean,test,0.9159,198461,231450
case_00222,clean,test,0.9272,218607,252161
case_00228,clean,test,0.7745,230464,362474
case_00231,clean,test,0.9391,206491,232150
case_00236,clean,dev,0.8023,167109,247812
case_00246,clean,test,0.8898,833842,1036319
case_00247,clean,test,0.8968,98643,120206
case_00249,clean,dev,0.9367,762566,862915
case_00258,clean,test,0.9382,225778,254519
case_00259,clean,test,0.8969,105613,125976
case_00260,clean,test,0.8779,99941,125357
case_00261,clean,dev,0.9415,1034163,1125020
case_00271,clean,dev,0.9203,1657346,1907423
case_00280,clean,test,0.8942,252800,310280
case_00283,clean,test,0.9108,772672,920837
case_00284,clean,test,0.9209,287484,335484
case_00291,clean,dev,0.892,141081,174308
case_00292,clean,test,0.4401,136380,481112
case_00293,clean,test,0.9475,1664393,1769587
case_00295,clean,dev,0.9567,1201185,1259208
case_00298,clean,dev,0.9131,1498137,1759995
case_00406,clean,test,0.8004,62057,92892
case_00407,clean,test,0.9083,98806,118517
case_00426,clean,test,0.7235,133021,228736
case_00436,clean,test,0.9352,126780,141933
case_00438,clean,test,0.8877,144295,180258
case_00443,clean,test,0.9068,176898,211818
case_00453,clean,test,0.424,126577,469547
case_00456,clean,dev,0.9254,136420,157762
case_00457,clean,test,0.9398,309114,344641
case_00460,clean,test,0.8897,140996,155547
case_00465,clean,dev,0.4705,134628,433852
case_00467,clean,dev,0.9026,294729,356824
case_00470,clean,test,0.8468,115087,154203
case_00481,clean,test,0.8057,555113,821019
case_00482,clean,test,0.9315,833307,942285
case_00487,clean,test,0.92,151062,177026
case_00511,clean,test,0.8934,91581,113414
case_00516,clean,test,0.0027,2573,1889962
case_00525,clean,test,0.9252,342610,394586
case_00526,clean,test,0.9233,549631,637127
case_00528,clean,dev,0.9322,493072,558606
case_00536,clean,test,0.9104,143585,171070
case_00544,clean,dev,0.8955,439769,541193
case_00546,clean,test,0.8592,177154,235201
case_00550,clean,test,0.9089,149320,178691
case_00554,clean,test,0.8921,138818,171256
case_00559,clean,dev,0.9125,1185322,1383672
case_00562,clean,test,0.898,540375,660444
case_00563,clean,dev,0.8779,199593,254823
case_00566,clean,test,0.9095,160233,190348
case_00574,clean,dev,0.9047,156157,188411
case_00575,clean,test,0.9167,281965,331151
case_00579,clean,test,0.9241,216714,252157
case_00580,clean,test,0.9085,253568,301452
case_00582,clean,dev,0.4605,152248,505331
case_00585,clean,test,0.9322,247856,274930
case_00587,clean,test,0.9106,111625,130251
