case_id,split,dice_kidney_tumor_cyst,dice_kidney_cyst,dice_kidney_cyst_ignore_tumor,voxels_label_1,coverage_label_1,voxels_label_2,coverage_label_2,voxels_label_3,coverage_label_3
case_00000,test,0.948,0.94,0.9493,854483,0.9223,20462,0.8005,0,
case_00020,test,0.9138,0.9095,0.9145,117124,0.8446,1570,0.7592,50,0.32
case_00026,test,0.8921,0.7659,0.8829,331488,0.7985,118967,0.8517,39138,0.7233
case_00033,test,0.9257,0.9206,0.9255,673926,0.8684,7619,0.8895,0,
case_00040,dev,0.6607,0.6461,0.6539,306466,0.4861,6427,0.8541,0,
case_00044,test,0.8983,0.7922,0.8889,118560,0.8016,29758,0.8768,0,
case_00045,test,0.8466,0.84,0.9031,110724,0.8485,39151,0.4443,12800,0.8205
case_00046,test,0.9146,0.8652,0.9142,145404,0.8477,18024,0.8478,0,
case_00051,dev,0.9279,0.889,0.9232,187029,0.8768,13980,0.9778,3304,0.0345
case_00053,test,0.8904,0.9315,0.9421,974874,0.8969,134230,0.158,0,
case_00055,test,0.8976,0.5236,0.863,96137,0.7615,128509,0.8557,0,
case_00061,test,0.9263,0.8459,0.9228,123831,0.8586,23400,0.895,0,
case_00077,test,0.9113,0.9028,0.9115,152167,0.8389,3306,0.8203,0,
case_00079,test,0.8841,0.501,0.8164,141132,0.6904,171432,0.8766,0,
case_00080,test,0.9318,0.8968,0.9349,152872,0.881,15039,0.8153,0,
case_00083,test,0.929,0.9219,0.9297,228706,0.8729,4528,0.8037,993,0.6244
case_00091,test,0.9495,0.9321,0.9497,1383928,0.9262,56803,0.8947,0,
case_00096,test,0.9263,0.9152,0.9249,1208026,0.8664,24608,0.9749,0,
case_00100,test,0.9326,0.9303,0.9327,437395,0.8784,2471,0.8482,52,1.0
case_00107,test,0.8236,0.5916,0.869,149765,0.7761,193888,0.6469,0,
case_00115,test,0.9471,0.9351,0.9468,1110062,0.9026,28542,0.9274,1381,0.6495
case_00120,test,0.9151,0.9113,0.9154,349212,0.8516,3647,0.7993,950,0.8695
case_00124,test,0.9128,0.9081,0.9129,359302,0.8404,4303,0.8194,1439,0.9236
case_00131,test,0.9288,0.861,0.9237,280671,0.8594,41066,0.9274,0,
case_00132,test,0.941,0.9405,0.9442,1283202,0.9021,19109,0.5038,0,
case_00135,dev,0.8612,0.5332,0.8563,1064133,0.7534,1489413,0.7617,0,
case_00138,test,0.9331,0.914,0.9325,306149,0.8788,13039,0.8985,1021,0.4251
case_00140,test,0.9451,0.9405,0.9448,715619,0.8984,6468,0.959,504,0.4028
case_00145,test,0.9129,0.7453,0.9256,139404,0.8743,83916,0.8011,9030,0.745
case_00152,test,0.9314,0.9188,0.9313,142107,0.8765,4230,0.8797,4324,0.7486
case_00154,test,0.9054,0.8943,0.9096,818247,0.8467,38895,0.6771,6777,0.6307
