case_id,variant,seconds,device,resolution,shape,source
case_00040,clean,88.75,cpu,fast,512x512x207,run
case_00051,clean,79.19,cpu,fast,512x512x68,run
case_00135,clean,145.96,cpu,fast,512x512x634,run
case_00178,clean,169.38,cpu,fast,512x512x88,run
case_00236,clean,78.92,cpu,fast,512x512x64,run
case_00249,clean,84.35,cpu,fast,512x512x258,run
case_00261,clean,130.11,cpu,fast,512x512x615,run
case_00271,clean,58.68,cpu,fast,512x512x468,run
case_00291,clean,226.47,cpu,fast,512x512x131,run
case_00295,clean,112.34,cpu,fast,512x512x564,run
case_00298,clean,87.26,cpu,fast,512x512x617,run
case_00456,clean,80.03,cpu,fast,512x512x98,run
case_00465,clean,145.7,cpu,fast,512x512x95,run
case_00467,clean,75.54,cpu,fast,512x512x100,run
case_00528,clean,206.46,cpu,fast,512x512x499,run
case_00544,clean,193.82,cpu,fast,512x512x540,run
case_00559,clean,113.45,cpu,fast,512x512x511,run
case_00563,clean,128.78,cpu,fast,512x512x215,run
case_00574,clean,71.72,cpu,fast,512x512x53,run
case_00582,clean,233.87,cpu,fast,512x512x163,run
