case_id,resolution,seconds,device
case_00040,fastest,20.26,cpu
case_00051,fastest,11.65,cpu
case_00135,fastest,63.23,cpu
case_00178,fastest,23.55,cpu
case_00236,fastest,12.08,cpu
case_00249,fastest,23.5,cpu
case_00261,fastest,71.13,cpu
case_00271,fastest,36.17,cpu
case_00291,fastest,28.33,cpu
case_00295,fastest,53.98,cpu
case_00298,fastest,57.3,cpu
case_00456,fastest,10.42,cpu
case_00465,fastest,22.01,cpu
case_00467,fastest,14.61,cpu
case_00528,fastest,57.2,cpu
case_00544,fastest,65.16,cpu
case_00559,fastest,49.85,cpu
case_00563,fastest,18.35,cpu
case_00574,fastest,9.67,cpu
case_00582,fastest,27.68,cpu
