bad_rule,n_bad,method,spearman_rho,rho_ci_low,rho_ci_high,rho_p_value,partial_rho_given_volume,partial_rho_ci_low,partial_rho_ci_high,review_auc,review_auc_ci_low,review_auc_ci_high,review_auc_norm,quality_auc,quality_auc_ci_low,quality_auc_ci_high,quality_auc_norm,review_auc_minus_volume,review_auc_minus_volume_ci_low,review_auc_minus_volume_ci_high,quality_auc_minus_volume,quality_auc_minus_volume_ci_low,quality_auc_minus_volume_ci_high
worst1of3,1,neg_volume_ml,-1.0,-1.0,-1.0,0.0,,,,0.8333,0.5,0.8333,1.0,0.9836,0.9797,0.9849,1.0,0.0,0.0,0.0,0.0,0.0,0.0
worst1of3,1,entropy_sum_ml,1.0,1.0,1.0,0.0,,,,0.1667,0.1667,0.5,-1.0,0.9813,0.9797,0.9849,-0.9943,-0.6667,-0.6667,0.0,-0.0023,-0.0023,0.0
worst1of3,1,entropy_mean_region,-1.0,-1.0,-1.0,0.0,,,,0.8333,0.5,0.8333,1.0,0.9836,0.9797,0.9849,1.0,0.0,0.0,0.0,0.0,0.0,0.0
worst1of3,1,entropy_per_volume,-1.0,-1.0,-1.0,0.0,,,,0.8333,0.5,0.8333,1.0,0.9836,0.9797,0.9849,1.0,0.0,0.0,0.0,0.0,0.0,0.0
worst1of3,1,soft_dice_gap,-1.0,-1.0,-1.0,0.0,,,,0.8333,0.5,0.8333,1.0,0.9836,0.9797,0.9849,1.0,0.0,0.0,0.0,0.0,0.0,0.0
worst1of3,1,tta_disagreement,-0.5,-1.0,1.0,0.6667,,,,0.5,0.1667,0.8333,0.0,0.9829,0.9797,0.9849,0.4112,-0.3333,-0.6667,0.0,-0.0007,-0.0014,0.0
worst1of3,1,tta_std_mean_region,-1.0,-1.0,-1.0,0.0,,,,0.8333,0.5,0.8333,1.0,0.9836,0.9797,0.9849,1.0,0.0,0.0,0.0,0.0,0.0,0.0
worst1of3,1,model_disagreement,0.5,-1.0,1.0,0.6667,,,,0.1667,0.1667,0.5,-1.0,0.9817,0.9797,0.9849,-0.5859,-0.6667,-0.6667,0.0,-0.0019,-0.0023,0.0
worst1of3,1,model_diff_mean_region,-0.5,-1.0,1.0,0.6667,,,,0.5,0.1667,0.8333,0.0,0.9829,0.9797,0.9849,0.4112,-0.3333,-0.6667,0.0,-0.0007,-0.0014,0.0
worst1of3,1,oracle,-1.0,-1.0,-1.0,0.0,,,,0.8333,0.5,0.8333,1.0,0.9836,0.9797,0.9849,1.0,0.0,0.0,0.0,0.0,0.0,0.0
worst1of3,1,random,,,,,,,,0.5,0.1667,0.8333,0.0,0.9824,0.9813,0.9836,0.0,,,,,,
