case_id,variant,pred_volume_ml,neg_volume_ml,entropy_sum_ml,entropy_mean_region,entropy_per_volume,soft_dice_gap,dice,pred_voxels,truth_voxels,bad
spleen_10,clean,253.5912898276606,-253.5912898276606,90.9367340112602,0.235508993268013,0.3585956523706329,0.0564964920452573,0.9593,53182,53071,False
spleen_12,clean,451.5668246260877,-451.5668246260877,128.18211532412704,0.1938628107309341,0.2838607894418862,0.0456347272199396,0.9698,529659,537685,False
spleen_13,clean,273.64778204348056,-273.64778204348056,92.7030779112142,0.218613862991333,0.338767876059322,0.0546368899607639,0.9655,198712,203903,False
spleen_14,clean,456.3454792286024,-456.3454792286024,138.62137849104425,0.2148352712392807,0.3037641103081971,0.0474087186633085,0.9661,125861,124163,False
spleen_16,clean,197.52362878690957,-197.52362878690957,77.90694633883918,0.2543414235115051,0.394418363095617,0.060882152003242,0.9412,39266,40044,False
spleen_17,clean,90.0162079724759,-90.0162079724759,36.98679096295497,0.2384258061647415,0.4108903473723794,0.0658091421172388,0.9431,95733,96414,False
spleen_18,clean,227.251807846158,-227.251807846158,82.7291337747146,0.2240877896547317,0.3640416970003578,0.0583099872148837,0.9519,162086,157714,False
spleen_19,clean,316.5269677734375,-316.5269677734375,98.71635470151902,0.2163286209106445,0.3118734412929322,0.0492348145487144,0.9678,99692,96852,False
spleen_2,clean,306.5825564566254,-306.5825564566254,96.47806108433336,0.2166011035442352,0.314688683529139,0.0491287980284557,0.9613,97035,96672,False
spleen_20,clean,287.6677819144196,-287.6677819144196,91.36558327542684,0.2060153782367706,0.317607980523199,0.0508714631528373,0.9432,220031,221465,False
spleen_21,clean,125.18439745237856,-125.18439745237856,52.28163068465325,0.2437384277582168,0.417636955951653,0.0672017934000608,0.9427,94856,100998,False
spleen_22,clean,278.65996875,-278.65996875,84.1865166091919,0.1980916857719421,0.302111986112795,0.0485272244311661,0.9637,197952,194955,False
spleen_24,clean,57.53053588867188,-57.53053588867188,33.70272030591965,0.3129293918609619,0.5858231595676119,0.088364092855725,0.9361,21335,20702,True
spleen_25,clean,104.68543212890626,-104.68543212890626,42.05266373634338,0.2370595186948776,0.4017050212350568,0.0649895043659453,0.9569,81057,81394,False
spleen_26,clean,210.96759253277213,-210.96759253277213,60.07665786553483,0.1975821852684021,0.2847672343618482,0.0454933347239302,0.9706,90292,88339,False
spleen_27,clean,152.24658937674732,-152.24658937674732,67.46497257375292,0.260838896036148,0.4431296152507235,0.0684484664496858,0.9434,64274,64222,False
spleen_28,clean,161.17822265625,-161.17822265625,58.93957757949829,0.2353320866823196,0.3656795354121793,0.058669867026649,0.9606,36677,36641,False
spleen_29,clean,191.35562133789065,-191.35562133789065,66.27834814786911,0.22498819231987,0.3463621694752127,0.0537774868611855,0.9667,51821,49606,False
spleen_3,clean,161.88520435658108,-161.88520435658108,61.24399428820924,0.2434431165456771,0.3783174288942947,0.0622958742303454,0.9368,59401,58026,True
spleen_31,clean,356.1651603086752,-356.1651603086752,111.80727508622736,0.2207424938678741,0.3139197415865384,0.0489611885726857,0.9667,130000,130421,False
spleen_32,clean,340.3296290024236,-340.3296290024236,117.64644840923374,0.2306104302406311,0.3456838264540169,0.0542490493386123,0.9605,83596,82734,False
spleen_33,clean,408.0383579058175,-408.0383579058175,115.86766675106898,0.1995468288660049,0.2839626826892909,0.044887350233666,0.9705,95620,96254,False
spleen_38,clean,111.87427279693276,-111.87427279693276,47.72288264012315,0.2580047845840454,0.4265760254526684,0.0640586838183283,0.9589,28332,27128,False
spleen_40,clean,172.4203125,-172.4203125,61.54822814941406,0.2311530411243438,0.3569662254812005,0.0557108093888347,0.9659,61305,60144,False
spleen_41,clean,197.248994140625,-197.248994140625,77.28551441192627,0.2496314048767089,0.3918170267414748,0.0600560573533137,0.9522,48034,46185,False
spleen_44,clean,105.88361295339512,-105.88361295339512,62.048682294917725,0.3337717652320862,0.5860083592182349,0.0881221369390011,0.8663,27908,31337,True
spleen_45,clean,196.98376458652697,-196.98376458652697,74.49541819584802,0.2309740930795669,0.3781804980335077,0.0592289806892795,0.9444,53331,55685,False
spleen_46,clean,179.4561342760822,-179.4561342760822,66.85521005357862,0.2356254309415817,0.3725434648599194,0.0574860154771623,0.9525,89627,90347,False
