case_id,resolution,seconds,device
spleen_10,fastest,18.45,cpu
spleen_12,fastest,18.76,cpu
spleen_13,fastest,10.81,cpu
spleen_14,fastest,13.63,cpu
spleen_16,fastest,27.38,cpu
spleen_17,fastest,15.23,cpu
spleen_18,fastest,30.94,cpu
spleen_19,fastest,12.76,cpu
spleen_2,fastest,27.95,cpu
spleen_20,fastest,23.96,cpu
spleen_21,fastest,12.73,cpu
spleen_22,fastest,19.66,cpu
spleen_24,fastest,11.87,cpu
spleen_25,fastest,8.77,cpu
spleen_26,fastest,10.3,cpu
spleen_27,fastest,26.62,cpu
spleen_28,fastest,12.04,cpu
spleen_29,fastest,26.97,cpu
spleen_3,fastest,5.97,cpu
spleen_31,fastest,6.13,cpu
spleen_32,fastest,25.42,cpu
spleen_33,fastest,25.06,cpu
spleen_38,fastest,24.57,cpu
spleen_40,fastest,11.65,cpu
spleen_41,fastest,21.35,cpu
spleen_44,fastest,20.2,cpu
spleen_45,fastest,28.17,cpu
spleen_46,fastest,12.98,cpu
spleen_47,fastest,21.43,cpu
spleen_49,fastest,12.25,cpu
spleen_52,fastest,21.53,cpu
spleen_53,fastest,26.02,cpu
spleen_56,fastest,4.2,cpu
spleen_59,fastest,12.06,cpu
spleen_6,fastest,17.91,cpu
spleen_60,fastest,20.86,cpu
spleen_61,fastest,22.88,cpu
spleen_62,fastest,9.28,cpu
spleen_63,fastest,5.95,cpu
spleen_8,fastest,8.75,cpu
spleen_9,fastest,4.77,cpu
