effect_size_dz,n_participants,power,n_simulations,alpha
0.0,4,0.0,10000,0.05
0.0,8,0.0408,10000,0.05
0.0,12,0.0425,10000,0.05
0.0,16,0.0445,10000,0.05
0.0,20,0.0459,10000,0.05
0.0,24,0.0516,10000,0.05
0.0,28,0.0432,10000,0.05
0.0,32,0.0486,10000,0.05
0.0,36,0.049,10000,0.05
0.0,40,0.0525,10000,0.05
0.5,4,0.0,10000,0.05
0.5,8,0.1867,10000,0.05
0.5,12,0.3147,10000,0.05
0.5,16,0.4324,10000,0.05
0.5,20,0.5411,10000,0.05
0.5,24,0.6358,10000,0.05
0.5,28,0.7056,10000,0.05
0.5,32,0.7713,10000,0.05
0.5,36,0.8124,10000,0.05
0.5,40,0.8599,10000,0.05
0.8,4,0.0,10000,0.05
0.8,8,0.4276,10000,0.05
0.8,12,0.6719,10000,0.05
0.8,16,0.8206,10000,0.05
0.8,20,0.9129,10000,0.05
0.8,24,0.9557,10000,0.05
0.8,28,0.9764,10000,0.05
0.8,32,0.9895,10000,0.05
0.8,36,0.9948,10000,0.05
0.8,40,0.9976,10000,0.05
1.0,4,0.0,10000,0.05
1.0,8,0.6123,10000,0.05
1.0,12,0.8535,10000,0.05
1.0,16,0.9499,10000,0.05
1.0,20,0.9858,10000,0.05
1.0,24,0.995,10000,0.05
1.0,28,0.9989,10000,0.05
1.0,32,0.9996,10000,0.05
1.0,36,0.9999,10000,0.05
1.0,40,1.0,10000,0.05
1.2,4,0.0,10000,0.05
1.2,8,0.7671,10000,0.05
1.2,12,0.9474,10000,0.05
1.2,16,0.9912,10000,0.05
1.2,20,0.9992,10000,0.05
1.2,24,0.9998,10000,0.05
1.2,28,1.0,10000,0.05
1.2,32,1.0,10000,0.05
1.2,36,1.0,10000,0.05
1.2,40,1.0,10000,0.05
